term,PCA dim
misslyckade,-0.0389
explicit,-0.0395
vägar,-0.0405
global,-0.0409
respektera,-0.0433
hämmar,-0.0468
interna,-0.0470
illegalt,-0.0486
avstår,-0.0515
slutsatsen,-0.0540
hämmande,-0.0554
friheten,-0.0571
offentligt,-0.0573
kontext,-0.0581
befarade,-0.0608
belastar,-0.0633
angelägna,-0.0666
förnuft,-0.0702
därom,-0.0734
löna,-0.0812
majoriteten,-0.0816
svensk,-0.0818
unga,-0.0874
sänker,-0.0898
problematiska,-0.0921
uppfattning,-0.0940
främjar,-0.0944
motion,-0.0954
medge,-0.0963
totala,-0.0978
problematiskt,-0.0991
elände,-0.0992
negativa,-0.0996
gällande,-0.1013
påpekande,-0.1026
fråga,-0.1034
varaktig,-0.1035
välfungerande,-0.1042
acceptera,-0.1061
val,-0.1074
otillfredsställande,-0.1091
otillräckligt,-0.1123
rörande,-0.1189
legitimt,-0.1218
oförmåga,-0.1220
bedrev,-0.1229
drabbar,-0.1242
glädjande,-0.1292
svenska,-0.1299
arbeten,-0.1309
enskilda,-0.1320
genomförde,-0.1362
meddelat,-0.1363
idéer,-0.1369
förtjänstfullt,-0.1397
utlovades,-0.1407
snarast,-0.1416
välvilligt,-0.1438
framhållas,-0.1468
konsumera,-0.1495
påstått,-0.1515
yttermera,-0.1519
allvarlig,-0.1519
struntar,-0.1545
författare,-0.1610
motsvarande,-0.1614
sagts,-0.1626
enskilt,-0.1639
respekt,-0.1639
rimligt,-0.1650
sittande,-0.1656
självfallet,-0.1661
hänvisade,-0.1695
tvärtom,-0.1702
obegripligt,-0.1728
olyckligt,-0.1728
därvidlag,-0.1731
åsyftade,-0.1745
förklaringen,-0.1748
skriver,-0.1754
felaktiga,-0.1768
påverka,-0.1776
nordiska,-0.1778
såvitt,-0.1803
torde,-0.1817
realism,-0.1835
möjliggöra,-0.1866
sanning,-0.1882
upprätthålls,-0.1907
därutöver,-0.1912
möjligheter,-0.1914
lönar,-0.1917
ordinarie,-0.1922
mån,-0.1924
syftet,-0.1931
jobba,-0.1934
ryska,-0.1971
tydligast,-0.2014
freda,-0.2028
medgav,-0.2039
skapande,-0.2051
sanningen,-0.2069
utesluter,-0.2087
rubbas,-0.2101
föreslog,-0.2115
kassan,-0.2117
påpekat,-0.2118
förefaller,-0.2138
hemliga,-0.2151
uppmuntra,-0.2155
tvingar,-0.2166
angående,-0.2199
vägrar,-0.2221
netto,-0.2232
grundläggande,-0.2237
kompetenta,-0.2272
isolering,-0.2283
nuvarande,-0.2287
relevanta,-0.2301
önskvärt,-0.2312
adekvat,-0.2346
löfte,-0.2354
individ,-0.2355
poängtera,-0.2355
citerade,-0.2369
höjer,-0.2373
hänvisar,-0.2379
uppenbart,-0.2380
omvända,-0.2400
inse,-0.2401
digitala,-0.2412
hävdade,-0.2413
tillåts,-0.2416
apropå,-0.2418
gällde,-0.2422
människor,-0.2436
tvista,-0.2449
presenterade,-0.2458
s,-0.2469
därigenom,-0.2479
strunta,-0.2499
uppenbar,-0.2546
eventuell,-0.2546
hämma,-0.2554
villigt,-0.2558
begränsar,-0.2558
förhoppning,-0.2559
problemet,-0.2575
underlätta,-0.2580
mening,-0.2614
acceptabelt,-0.2620
fattas,-0.2634
erkänna,-0.2649
inhemska,-0.2716
positiv,-0.2718
beklagar,-0.2719
borde,-0.2733
påpekas,-0.2735
säger,-0.2743
återgå,-0.2751
upprepar,-0.2763
arbeta,-0.2765
nytänkande,-0.2767
lösa,-0.2801
konsekvent,-0.2803
ansåg,-0.2806
framåt,-0.2812
medger,-0.2824
påstår,-0.2828
uttryckligen,-0.2831
åstadkomma,-0.2861
färre,-0.2867
negativt,-0.2871
försenade,-0.2875
talade,-0.2882
andras,-0.2936
felet,-0.2940
högre,-0.2941
decennier,-0.2968
positiva,-0.2974
oberoende,-0.2997
noterar,-0.3000
efterlevnad,-0.3005
frid,-0.3022
lyfta,-0.3023
konstaterat,-0.3028
avsågs,-0.3037
gäller,-0.3068
personer,-0.3096
2010,-0.3101
meningslös,-0.3133
visso,-0.3175
enligt,-0.3182
uppehålla,-0.3196
felaktig,-0.3217
inför,-0.3218
fridens,-0.3231
lägre,-0.3278
lov,-0.3279
januari,-0.3293
såtillvida,-0.3309
bevisligen,-0.3326
konstatera,-0.3332
därmed,-0.3339
meddelade,-0.3400
ägnar,-0.3437
kollegan,-0.3441
påstå,-0.3454
välkommet,-0.3475
kostnad,-0.3486
kommande,-0.3488
påpekade,-0.3489
befintlig,-0.3490
omfattande,-0.3515
fria,-0.3516
tydlig,-0.3520
byggs,-0.3528
ställer,-0.3543
måhända,-0.3553
människan,-0.3558
misslyckad,-0.3564
